dataTime,sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,so2Flag,coFlag,o3Flag,no2Flag,pm10Flag,pm25Flag
2021-09-24 08:00,광주,일곡동,도시대기,0.003,0.2,0.017,0.007,10,9,6,7,28,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,오선동,도시대기,0.003,0.4,0.006,0.019,17,21,9,10,35,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,우산동(광주),도시대기,0.003,0.4,0.015,0.020,20,18,10,9,34,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,평동,도시대기,0.004,0.1,0.006,0.021,23,16,12,12,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,주월동,도시대기,0.003,0.4,0.013,0.023,13,12,12,,,,좋음,좋음,좋음,좋음,좋음,,좋음,좋음,,,,,,
2021-09-24 08:00,광주,서석동,도시대기,0.003,0.5,0.011,0.020,11,11,4,7,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,읍내동,도시대기,0.004,0.7,0.004,0.029,29,23,13,10,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,문평동,도시대기,0.004,0.2,0.008,0.017,18,18,14,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,문창동,도시대기,0.002,0.4,0.010,0.021,14,16,12,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,구성동,도시대기,0.002,0.5,0.008,0.017,9,11,6,9,30,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,노은동,도시대기,,0.5,0.007,0.026,14,13,10,9,43,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,좋음,자료이상,,,,,
2021-09-24 08:00,대전,상대동(대전),도시대기,0.003,0.4,0.005,0.017,22,20,9,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,관평동,도시대기,0.002,0.6,0.007,0.020,20,18,5,5,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대전,대흥동1,도로변대기,0.003,0.3,0.001,0.027,16,15,8,,,,좋음,좋음,좋음,좋음,좋음,,좋음,좋음,,,,,,
